Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Total Risk Score,Risk Category,Predicted Risk Category,Phone Number,Address
E0000,179,None,Within past year,None,None,Pass,8,Moderate,Moderate,001-233-810-9504,"8501 Daniels Brook
Davidview, NU Y5X3J1"
E0001,138,None,None,None,None,Pass,6,Low,Low,(464)960-2406x87948,"60230 James Cliffs Apt. 348
Antoniofort, NT J3G 6J3"
E0002,157,None,None,None,None,Pass,6,Low,Low,732-549-1912,"82239 White Landing
New Tina, MB E9L 2K6"
E0003,50,None,None,None,Flagged,Pass,7,Moderate,Moderate,+1-289-886-9707x178,"0773 Kathy Mission Suite 119
Timothyfurt, QC B8Y 2B6"
E0004,150,None,None,None,None,Pass,6,Low,Low,(755)224-5481x85201,"5808 Patterson Mews
Port Dawnshire, ON H4P3A3"
E0005,18,None,None,None,None,Pass,6,Low,Low,970-576-0544x2415,"21745 Jennifer Drive
Michelleberg, AB T5P1X9"
E0006,14,None,None,None,Flagged,Pass,7,Moderate,Moderate,9978490898,"94071 Thomas Key Suite 647
Lake Samantha, NU J1S 1Y7"
E0007,191,None,None,None,None,Pass,6,Low,Low,7037032017,"23795 Curry Drive Suite 598
Longhaven, NB E1L 2C4"
E0008,177,None,None,None,None,Fail,7,Moderate,Moderate,(391)407-1836,"6951 Hall Bypass Suite 702
East Wendychester, NT Y1C 9N8"
E0009,87,None,None,None,None,Pass,6,Low,Low,(663)205-8347,"932 Melanie Dale Suite 244
Ianfurt, AB B7A8E4"
E0010,81,None,Within past 1-3 years,None,None,Pass,7,Moderate,Moderate,+1-428-969-6370,"3567 Lawrence Drive Apt. 829
South Joseph, NT V1P 8M2"
E0011,77,None,None,None,None,Pass,6,Low,Low,522-748-9483x75850,"7768 Cynthia Tunnel Suite 183
North Alexis, YT H3X 8Y6"
E0012,39,None,None,None,None,Pass,6,Low,Low,(322)783-6247x2725,"30571 Christopher Shoals
Russellfurt, NU X9A7P4"
E0013,76,None,None,None,Flagged,Pass,7,Moderate,Moderate,662-378-7472x365,"2226 Kelsey Avenue Apt. 365
East Mario, BC T7K 3V2"
E0014,28,None,None,None,None,Fail,7,Moderate,Moderate,001-464-267-1864x228,"07798 Michael Passage Suite 375
South Karen, NU M7G8V3"
E0015,177,None,None,None,None,Pass,6,Low,Low,280-841-5639x84248,"9191 Lamb Dale Apt. 718
Port Amber, YT A2R4C3"
E0016,69,None,None,None,Flagged,Pass,7,Moderate,Moderate,(253)473-2481,"046 Carlos Avenue Apt. 820
Walkerberg, NS A7M 4C6"
E0017,122,None,None,None,None,Pass,6,Low,Low,(325)785-3183x44649,"1060 Daniel Shore
New Kristenmouth, MB H5M 2Y3"
E0018,43,None,None,None,None,Pass,6,Low,Low,+1-538-758-8048x67557,"054 Sullivan Cove Suite 753
North Maria, SK A8A 6Y5"
E0019,182,None,None,None,None,Fail,7,Moderate,Moderate,(922)842-1074x555,"98072 Wagner Manor
East Brian, AB B3E9M3"
E0020,191,None,None,None,None,Fail,7,Moderate,Moderate,+1-891-868-0740x38377,"5548 Nicholas Loop
South Juliechester, NT J1N2G4"
E0021,104,None,None,Major,Flagged,Pass,9,Moderate,Moderate,292.924.5010,"68175 Harmon Summit Apt. 711
Lake Samantha, NB J7T 6B7"
E0022,153,None,None,None,Flagged,Pass,7,Moderate,Moderate,559.563.0557x15064,"64899 Amanda Landing
Griffinport, NT E3E 2G3"
E0023,127,Minor,None,None,None,Pass,7,Moderate,Moderate,514.314.6464x037,"0721 Christine Forks
Cynthiachester, ON E7H 9R4"
E0024,34,None,None,None,None,Fail,7,Moderate,Moderate,+1-921-882-2867,"22604 Alexander Meadow Suite 561
New Collin, NB A8A3T2"
E0025,86,None,Within past 1-3 years,None,None,Pass,7,Moderate,Moderate,288-789-6528,"8325 King Corners
North Charlesstad, NU S7K9H1"
E0026,33,None,None,None,None,Fail,7,Moderate,Moderate,675-687-6759,"810 Chelsea Circle
Katieborough, QC A1N 8Y7"
E0027,179,None,None,None,None,Pass,6,Low,Low,(826)744-2607,"261 Nichols Rest Suite 449
Youngmouth, NT X6C 6B8"
E0028,36,None,None,None,None,Pass,6,Low,Low,922.296.2375,"036 Mcintyre Dale
South Andrew, NS H9S 9G9"
