Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Total Risk Score,Risk Category
E0001,243,Minor,Within past year,None,Flagged,None,13,High
E0002,51,Minor,Within past 1-3 years,None,Flagged,Pass,9,Moderate
E0003,62,Minor,None,None,None,Pass,7,Moderate
E0004,117,None,Within past year,Minor,Flagged,Pass,10,Moderate
E0005,88,Minor,None,None,None,Fail,8,Moderate
E0006,480,None,Within past year,Major,None,Pass,11,Moderate
E0007,628,Major,None,Minor,None,Pass,11,Moderate
E0008,524,None,None,None,None,None,10,Moderate
E0009,88,Minor,None,Minor,Flagged,Fail,10,Moderate
E0010,111,None,Within past year,Minor,Flagged,Pass,10,Moderate
E0011,918,Minor,None,Minor,Flagged,None,13,High
E0012,868,None,Within past 1-3 years,Minor,None,Pass,10,Moderate
E0013,418,Major,None,None,Flagged,Pass,10,Moderate
E0014,157,None,Within past year,None,Flagged,Pass,9,Moderate
E0015,979,None,None,Minor,Flagged,Fail,11,Moderate
E0016,691,None,Within past year,Major,None,Pass,12,Moderate
E0017,471,Major,Within past year,Major,None,Pass,13,High
E0018,135,Major,None,Major,Flagged,Pass,11,Moderate
E0019,210,Minor,Within past 1-3 years,None,Flagged,Fail,11,Moderate
E0020,764,None,Within past 1-3 years,None,None,None,11,Moderate
E0021,96,Minor,None,None,None,Pass,7,Moderate
E0022,101,None,Within past year,None,Flagged,Pass,9,Moderate
E0023,132,Minor,Within past 1-3 years,Minor,None,Fail,10,Moderate
E0024,484,None,Within past year,None,None,Pass,9,Moderate
E0025,68,Major,Within past 1-3 years,Minor,Flagged,Fail,12,Moderate
E0026,292,Minor,None,Minor,None,Pass,9,Moderate
E0027,978,None,Within past 1-3 years,None,None,Fail,10,Moderate
E0028,581,Major,Within past year,Minor,None,Pass,13,High
E0029,731,Major,Within past year,None,Flagged,None,15,High
E0030,579,Minor,Within past 1-3 years,Minor,None,None,13,High
E0031,959,None,Within past 1-3 years,Minor,None,Pass,10,Moderate
E0032,180,Major,None,Minor,None,Pass,9,Moderate
E0033,34,Minor,Within past 1-3 years,None,None,Pass,8,Moderate
E0034,990,Minor,Within past 1-3 years,Minor,Flagged,Fail,13,High
E0035,936,None,None,None,Flagged,Pass,9,Moderate
E0036,101,Minor,Within past year,None,Flagged,None,12,Moderate
E0037,70,Minor,None,None,Flagged,None,10,Moderate
E0038,31,None,Within past year,None,None,Fail,9,Moderate
E0039,106,Minor,None,Minor,None,None,10,Moderate
E0040,94,None,Within past year,None,None,Fail,9,Moderate
E0041,194,None,Within past 1-3 years,Minor,None,None,10,Moderate
E0042,26,Minor,None,None,None,None,9,Moderate
E0043,693,None,Within past 1-3 years,Minor,None,None,12,Moderate
E0044,308,Minor,Within past year,None,None,Pass,10,Moderate
E0045,467,Minor,None,None,Flagged,None,11,Moderate
E0046,657,Major,None,None,None,None,12,Moderate
E0047,615,Minor,None,Minor,None,None,12,Moderate
E0048,176,Major,Within past year,Minor,Flagged,Fail,13,High
E0049,683,Minor,None,Minor,Flagged,None,13,High
E0050,75,None,None,Major,None,Fail,9,Moderate
E0051,726,Minor,None,None,Flagged,Pass,10,Moderate
E0052,126,Major,None,None,None,Fail,9,Moderate
E0053,942,Minor,None,None,None,Pass,9,Moderate
E0054,311,Major,Within past year,None,Flagged,None,14,High
E0055,112,None,None,Minor,None,None,9,Moderate
E0056,440,Major,None,None,None,Fail,10,Moderate
E0057,58,Major,None,Major,None,Fail,11,Moderate
E0058,469,None,None,None,None,Pass,7,Moderate
E0059,158,Major,Within past 1-3 years,Major,None,Pass,11,Moderate
E0060,170,None,None,None,None,Pass,6,Low
E0061,842,None,Within past year,Major,None,Pass,12,Moderate
E0062,291,None,Within past year,Minor,None,Fail,11,Moderate
E0063,808,Minor,Within past 1-3 years,None,Flagged,None,13,High
E0064,166,None,None,None,Flagged,Pass,7,Moderate
E0065,329,Minor,Within past year,None,None,Pass,10,Moderate
E0066,169,Major,None,None,None,None,10,Moderate
E0067,657,Major,Within past year,None,None,None,14,High
E0068,108,Minor,None,Minor,Flagged,Pass,9,Moderate
E0069,265,None,None,None,Flagged,None,10,Moderate
E0070,483,None,Within past year,Minor,None,Fail,11,Moderate
E0071,247,None,None,Major,Flagged,None,12,Moderate
E0072,105,None,Within past 1-3 years,None,Flagged,None,10,Moderate
E0073,561,Major,None,None,Flagged,None,13,High
E0074,971,Major,Within past 1-3 years,None,Flagged,None,14,High
E0075,584,Minor,Within past year,None,None,None,13,High
E0076,422,Major,Within past 1-3 years,None,None,Pass,10,Moderate
E0077,120,None,None,Minor,None,Fail,8,Moderate
E0078,192,None,Within past 1-3 years,Major,None,None,11,Moderate
E0079,350,Major,None,None,None,Fail,10,Moderate
E0080,81,Minor,None,Minor,None,Fail,9,Moderate
E0081,457,None,None,Minor,Flagged,Fail,10,Moderate
E0082,54,None,Within past 1-3 years,Minor,None,None,10,Moderate
E0083,55,Minor,Within past year,None,Flagged,Pass,10,Moderate
E0084,22,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0085,541,None,Within past 1-3 years,Minor,None,Pass,10,Moderate
E0086,154,None,Within past year,None,None,Pass,8,Moderate
E0087,163,None,None,Minor,Flagged,Pass,8,Moderate
E0088,154,Minor,None,None,None,None,9,Moderate
E0089,319,Minor,Within past year,Minor,None,None,13,High
E0090,370,Minor,Within past 1-3 years,Minor,None,Pass,10,Moderate
E0091,584,None,Within past year,None,None,None,12,Moderate
E0092,408,None,None,Minor,Flagged,None,11,Moderate
E0093,58,None,None,None,None,None,8,Moderate
E0094,131,Major,None,Major,None,Pass,10,Moderate
E0095,298,None,None,None,None,Pass,7,Moderate
E0096,338,None,None,None,Flagged,None,10,Moderate
E0097,534,None,Within past 1-3 years,None,None,Fail,10,Moderate
E0098,164,None,None,None,None,Fail,7,Moderate
E0099,166,Major,None,None,Flagged,Pass,9,Moderate
E0100,133,Major,None,Minor,Flagged,Pass,10,Moderate
E0101,152,None,Within past year,Minor,None,Fail,10,Moderate
E0102,29,Minor,Within past year,None,Flagged,None,12,Moderate
E0103,437,None,Within past 1-3 years,Major,None,Fail,11,Moderate
E0104,474,Minor,None,None,Flagged,Pass,9,Moderate
E0105,381,Minor,Within past year,None,Flagged,Fail,12,Moderate
E0106,348,Minor,None,None,None,Pass,8,Moderate
E0107,212,None,Within past year,None,None,Pass,9,Moderate
E0108,772,Major,None,Major,None,Pass,12,Moderate
E0109,225,None,None,Major,None,Pass,9,Moderate
E0110,96,Major,None,None,Flagged,Pass,9,Moderate
E0111,579,Major,None,Minor,None,Fail,12,Moderate
E0112,956,None,Within past year,Minor,None,Pass,11,Moderate
E0113,16,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0114,970,None,None,Major,None,Fail,11,Moderate
E0115,700,None,Within past year,None,None,Fail,11,Moderate
E0116,408,Major,Within past 1-3 years,Minor,None,Fail,12,Moderate
E0117,261,None,Within past year,None,None,None,11,Moderate
E0118,806,Minor,Within past year,None,None,Fail,12,Moderate
E0119,121,None,Within past year,None,Flagged,Pass,9,Moderate
E0120,102,Minor,Within past year,None,Flagged,Pass,10,Moderate
E0121,993,None,None,None,Flagged,Pass,9,Moderate
E0122,201,Major,None,None,None,Fail,10,Moderate
E0123,18,Minor,Within past year,None,None,None,11,Moderate
E0124,65,Minor,None,None,None,Pass,7,Moderate
E0125,153,None,None,None,None,Fail,7,Moderate
E0126,67,None,Within past 1-3 years,Minor,None,Fail,9,Moderate
E0127,130,None,Within past year,Minor,Flagged,Fail,11,Moderate
E0128,122,Minor,Within past 1-3 years,None,None,None,10,Moderate
E0129,887,None,Within past 1-3 years,None,Flagged,Pass,10,Moderate
E0130,827,None,Within past year,None,None,Pass,10,Moderate
E0131,891,None,None,Major,Flagged,Fail,12,Moderate
E0132,20,Minor,None,None,None,Fail,8,Moderate
E0133,194,None,None,None,Flagged,Pass,7,Moderate
E0134,61,None,Within past 1-3 years,None,None,None,9,Moderate
E0135,117,Major,None,Major,None,None,12,Moderate
E0136,59,Minor,None,Minor,None,Pass,8,Moderate
E0137,246,Minor,Within past 1-3 years,Minor,None,Fail,11,Moderate
E0138,904,Minor,None,None,Flagged,None,12,Moderate
E0139,919,Major,Within past 1-3 years,None,None,Pass,11,Moderate
E0140,481,None,None,Minor,None,None,10,Moderate
E0141,621,Major,Within past 1-3 years,Major,None,Pass,13,High
E0142,222,Minor,Within past 1-3 years,Major,None,Pass,11,Moderate
E0143,304,None,Within past year,Minor,Flagged,None,13,High
E0144,48,Major,Within past 1-3 years,None,Flagged,Pass,10,Moderate
E0145,406,Minor,None,None,Flagged,None,11,Moderate
E0146,996,Major,None,Minor,None,Pass,11,Moderate
