Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Total Risk Score,Risk Category
E0000,179,None,Within past year,None,None,Pass,8,Moderate
E0001,138,None,None,None,None,Pass,6,Low
E0002,157,None,None,None,None,Pass,6,Low
E0003,50,None,None,None,Flagged,Pass,7,Moderate
E0004,150,None,None,None,None,Pass,6,Low
E0005,18,None,None,None,None,Pass,6,Low
E0006,14,None,None,None,Flagged,Pass,7,Moderate
E0007,191,None,None,None,None,Pass,6,Low
E0008,177,None,None,None,None,Fail,7,Moderate
E0009,87,None,None,None,None,Pass,6,Low
E0010,81,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0011,77,None,None,None,None,Pass,6,Low
E0012,39,None,None,None,None,Pass,6,Low
E0013,76,None,None,None,Flagged,Pass,7,Moderate
E0014,28,None,None,None,None,Fail,7,Moderate
E0015,177,None,None,None,None,Pass,6,Low
E0016,69,None,None,None,Flagged,Pass,7,Moderate
E0017,122,None,None,None,None,Pass,6,Low
E0018,43,None,None,None,None,Pass,6,Low
E0019,182,None,None,None,None,Fail,7,Moderate
E0020,191,None,None,None,None,Fail,7,Moderate
E0021,104,None,None,Major,Flagged,Pass,9,Moderate
E0022,153,None,None,None,Flagged,Pass,7,Moderate
E0023,127,Minor,None,None,None,Pass,7,Moderate
E0024,34,None,None,None,None,Fail,7,Moderate
E0025,86,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0026,33,None,None,None,None,Fail,7,Moderate
E0027,179,None,None,None,None,Pass,6,Low
E0028,36,None,None,None,None,Pass,6,Low
E0029,65,None,None,None,None,Pass,6,Low
E0030,131,None,None,None,None,Pass,6,Low
E0031,176,None,None,Minor,Flagged,Pass,8,Moderate
E0032,45,None,None,None,None,Pass,6,Low
E0033,91,None,None,None,None,Pass,6,Low
E0034,41,None,None,None,Flagged,None,9,Moderate
E0035,119,None,None,None,None,None,8,Moderate
E0036,66,None,None,None,None,Pass,6,Low
E0037,87,None,None,None,None,Pass,6,Low
E0038,126,None,None,None,None,Pass,6,Low
E0039,53,None,None,None,None,Pass,6,Low
E0040,40,None,None,None,None,Pass,6,Low
E0041,109,None,None,None,None,Pass,6,Low
E0042,56,None,None,None,None,Pass,6,Low
E0043,33,Minor,None,None,None,Pass,7,Moderate
E0044,38,Minor,None,Minor,None,Fail,9,Moderate
E0045,166,Major,Within past year,None,None,Pass,10,Moderate
E0046,38,None,None,None,None,Pass,6,Low
E0047,26,None,None,None,None,Pass,6,Low
E0048,46,None,None,None,None,Pass,6,Low
