Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Total Risk Score,Risk Category
E0000,34,None,None,Minor,None,Pass,7,Moderate
E0001,91,None,None,None,None,Fail,7,Moderate
E0002,191,None,None,None,None,Pass,6,Low
E0003,143,Minor,None,None,None,Pass,7,Moderate
E0004,38,None,None,None,None,Pass,6,Low
E0005,40,None,None,None,Flagged,Pass,7,Moderate
E0006,97,None,None,None,None,Pass,6,Low
E0007,68,None,None,None,None,Pass,6,Low
E0008,186,None,None,None,None,Pass,6,Low
E0009,118,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0010,57,None,None,None,None,Pass,6,Low
E0011,62,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0012,35,None,None,None,None,Pass,6,Low
E0013,77,None,None,None,None,Pass,6,Low
E0014,143,None,None,None,None,Pass,6,Low
E0015,28,None,None,None,Flagged,Pass,7,Moderate
E0016,24,None,None,None,Flagged,Pass,7,Moderate
E0017,129,None,None,None,None,Pass,6,Low
E0018,39,None,None,None,None,Pass,6,Low
E0019,11,Minor,None,None,None,Pass,7,Moderate
E0020,149,None,None,None,None,Fail,7,Moderate
E0021,149,None,None,None,Flagged,Pass,7,Moderate
E0022,19,None,None,None,Flagged,Pass,7,Moderate
E0023,119,Major,None,None,None,Pass,8,Moderate
E0024,95,None,None,None,None,Pass,6,Low
E0025,158,None,None,None,None,Pass,6,Low
E0026,167,None,None,None,None,Pass,6,Low
E0027,185,None,None,None,Flagged,Pass,7,Moderate
E0028,69,None,None,None,None,Fail,7,Moderate
E0029,50,None,None,None,None,Pass,6,Low
E0030,55,None,None,None,None,Pass,6,Low
E0031,196,None,None,None,None,Pass,6,Low
E0032,48,None,None,Minor,None,Fail,8,Moderate
E0033,26,None,Within past year,None,None,Pass,8,Moderate
E0034,78,None,None,None,None,Pass,6,Low
E0035,52,Minor,None,None,Flagged,Fail,9,Moderate
E0036,149,None,Within past year,None,Flagged,Pass,9,Moderate
E0037,12,None,None,None,None,Pass,6,Low
E0038,102,None,None,None,None,Pass,6,Low
E0039,107,None,None,None,None,Pass,6,Low
E0040,194,None,None,None,None,Pass,6,Low
E0041,109,None,None,None,None,Pass,6,Low
E0042,186,None,None,None,Flagged,Pass,7,Moderate
E0043,36,None,None,None,Flagged,Pass,7,Moderate
E0044,53,None,None,None,Flagged,Pass,7,Moderate
E0045,68,None,None,None,None,Pass,6,Low
E0046,55,None,None,None,None,Pass,6,Low
E0047,51,None,Within past 1-3 years,None,None,Pass,7,Moderate
E0048,56,None,Within past year,Minor,None,Pass,9,Moderate
E0049,196,None,None,None,Flagged,Pass,7,Moderate
E0050,46,None,None,None,None,Pass,6,Low
E0051,183,None,None,None,None,Pass,6,Low
E0052,145,None,None,None,None,Pass,6,Low
E0053,34,None,None,None,Flagged,Pass,7,Moderate
E0054,175,None,None,None,None,Pass,6,Low
E0055,167,None,None,None,None,Pass,6,Low
E0056,82,None,None,None,None,Pass,6,Low
E0057,45,None,None,None,None,Pass,6,Low
E0058,121,None,None,None,None,Fail,7,Moderate
E0059,73,None,Within past year,None,None,Pass,8,Moderate
E0060,199,Minor,Within past 1-3 years,None,Flagged,Pass,9,Moderate
E0061,183,None,None,None,Flagged,Pass,7,Moderate
E0062,14,None,None,Minor,Flagged,Pass,8,Moderate
E0063,40,None,None,None,None,Pass,6,Low
E0064,51,None,None,None,None,Pass,6,Low
E0065,149,None,Within past year,None,None,Pass,8,Moderate
E0066,38,None,None,None,None,Pass,6,Low
E0067,66,None,None,None,Flagged,Pass,7,Moderate
E0068,145,None,None,Minor,None,Pass,7,Moderate
E0069,26,None,None,None,Flagged,Pass,7,Moderate
E0070,175,None,None,None,None,Pass,6,Low
E0071,80,None,None,None,None,Pass,6,Low
E0072,56,None,None,Minor,Flagged,Pass,8,Moderate
E0073,50,Minor,None,None,Flagged,Pass,8,Moderate
E0074,68,None,None,None,None,Fail,7,Moderate
E0075,74,None,None,None,None,Pass,6,Low
E0076,138,None,None,Minor,Flagged,Fail,9,Moderate
